Submission.Date,UF,Cidade,Dano,Violência,Tipificação,Vítima,Gênero da vítima 1,Gênero da vítima 2,Gênero da vítima 3,Escolaridade da vítima 3,Escolaridade da vítima 2,Escolaridade da vítima 1,Escolaridade do agressor 3,Escolaridade do agressor 2,Escolaridade do agressor 1,Data da denúncia,Orientação sexual da vítima 1,Orientação sexual da vítima 2,Orientação sexual da vítima 3,Idade da vítima 1,Idade da vítima 2,Idade da vítima 3,Raça/cor da vítima 1,Raça/cor da vítima 2,Raça/cor da vítima 3,Religião da vítima 1,Religião da vítima 2,Religião da vítima 3,Agressor 1,Gênero do agressor 1,Gênero do agressor 2,Gênero do agressor 3,Orientação sexual do agressor 1,Orientação sexual do agressor 2,Orientação sexual do agressor 3,Idade do agressor 1,Idade do agressor 2,Idade do agressor 3,Raça/cor do agressor 1,Raça/cor do agressor 2,Raça/cor do agressor 3,Religião do agressor 1,Religião do agressor 2,Religião do agressor 3,Encaminhamentos,Resumo,Observações
17-03-2022,MATO GROSSO,NOVA LACERDA,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-06-2019,NI,,,38,,,NI,,,,,,Individual ou até 3 pessoas,MASCULINO,,,NI,,,21,,,NI,,,,,,,,INTERNET
17-03-2022,MATO GROSSO,NOVA LACERDA,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-06-2019,NI,,,38,,,NI,,,,,,Individual ou até 3 pessoas,MASCULINO,,,NI,,,23,,,NI,,,,,,,,INTERNET
17-03-2022,MATO GROSSO,CUIABA,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-09-2019,NI,,,28,,,NI,,,,,,Individual ou até 3 pessoas,NAO IDENTIFICADO,,,NI,,,NA,,,NI,,,,,,,,VIA PÚBLICA
17-03-2022,MATO GROSSO,BARRA DO GARCAS,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-10-2019,NI,,,37,,,PRETA,,,,,,Individual ou até 3 pessoas,NAO IDENTIFICADO,,,NI,,,NA,,,NI,,,,,,,,RESIDÊNCIA PARTICULAR
17-03-2022,MATO GROSSO,BARRA DO GARCAS,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,FEMININO,,,,,,,,,00-10-2019,NI,,,48,,,AMARELA,,,,,,Individual ou até 3 pessoas,NAO IDENTIFICADO,,,NI,,,NA,,,NI,,,,,,,,RESIDÊNCIA PARTICULAR
17-03-2022,MATO GROSSO,PORTO ESPERIDIAO,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-01-2020,NI,,,31,,,PARDA,,,,,,Individual ou até 3 pessoas,FEMININO,,,NI,,,26,,,BRANCO,,,,,,,,OUTRO
17-03-2022,MATO GROSSO,CUIABA,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-02-2020,NI,,,52,,,BRANCO,,,,,,Individual ou até 3 pessoas,MASCULINO,,,NI,,,32,,,NI,,,,,,,,RESIDÊNCIA PARTICULAR
17-03-2022,MATO GROSSO,NOVA BANDEIRANTE,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-02-2020,HETEROSSEXUAL,,,59,,,PRETA,,,,,,Individual ou até 3 pessoas,MASCULINO,,,NI,,,45,,,NI,,,,,,,,PROPRIEDADE RURAL
17-03-2022,MATO GROSSO,TAPURAH,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,MASCULINO,,,,,,,,,00-02-2020,NI,,,40,,,NI,,,,,,Individual ou até 3 pessoas,MASCULINO,,,NI,,,NA,,,NI,,,,,,,,OUTRO
17-03-2022,MATO GROSSO,VARZEA GRANDE,,,"SE COMETIDO POR INTERMÉDIO DOS MEIOS DE COMUNICAÇÃO SOCIAL OU PUBLICAÇÃO DE QUALQUER NATUREZA""",Individual ou até 3 pessoas,FEMININO,,,,,,,,,00-03-2020,NI,,,1,,,NI,,,,,,Individual ou até 3 pessoas,FEMININO,,,NI,,,31,,,NI,,,,,,,,RESIDÊNCIA PARTICULAR
