"","Submission Date","UF","Cidade","Dano","Violência","Tipificação","Vítima","Gênero da vítima 1","Gênero da vítima 2","Gênero da vítima 3","Escolaridade da vítima 3","Escolaridade da vítima 2","Escolaridade da vítima 1","Escolaridade do agressor 3","Escolaridade do agressor 2","Escolaridade do agressor 1","Data da denúncia","Orientação sexual da vítima 1","Orientação sexual da vítima 2","Orientação sexual da vítima 3","Idade da vítima 1","Idade da vítima 2","Idade da vítima 3","Raça/cor da vítima 1","Raça/cor da vítima 2","Raça/cor da vítima 3","Religião da vítima 1","Religião da vítima 2","Religião da vítima 3","Agressor 1","Gênero do agressor 1","Gênero do agressor 2","Gênero do agressor 3","Orientação sexual do agressor 1","Orientação sexual do agressor 2","Orientação sexual do agressor 3","Idade do agressor 1","Idade do agressor 2","Idade do agressor 3","Raça/cor do agressor 1","Raça/cor do agressor 2","Raça/cor do agressor 3","Religião do agressor 1","Religião do agressor 2","Religião do agressor 3","Encaminhamentos","Resumo","Observações"
"1","2022/03/10 11:40:00","Minas gerais","Sao Lourenco","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/01/01",NA,NA,NA,63,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-000386750-001"
"2","2022/03/10 11:40:00","Minas gerais","Almenara","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/01/01",NA,NA,NA,35,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,22,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-001851879-001"
"3","2022/03/10 11:40:00","Minas gerais","Almenara","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/01/01",NA,NA,NA,35,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,"Feminino",NA,NA,NA,NA,NA,32,NA,"Não informada","Parda (negra)","Não informada",NA,NA,NA,NA,NA,"REDS 2019-001851879-001"
"4","2022/03/10 11:40:00","Minas gerais","Divinopolis","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/01/01",NA,NA,NA,58,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-003000372-001"
"5","2022/03/10 11:40:00","Minas gerais","Bocaiuva","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/01/01",NA,NA,NA,31,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-003060560-001"
"6","2022/03/10 11:40:00","Minas gerais","Juiz De Fora","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/01/01",NA,NA,NA,59,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-004018187-001"
"7","2022/03/10 11:40:00","Minas gerais","Belo Horizonte","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/01/01",NA,NA,NA,30,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,43,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-004877342-001"
"8","2022/03/10 11:40:00","Minas gerais","Belo Horizonte","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino","Feminino",NA,NA,NA,NA,NA,NA,NA,"2019/02/01",NA,NA,NA,23,46,NA,"Parda (negra)","Branca","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,35,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-007800190-001"
"9","2022/03/10 11:40:00","Minas gerais","Betim","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/02/01",NA,NA,NA,62,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,36,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-008866670-001"
"10","2022/03/10 11:40:00","Minas gerais","Santa Maria Do Salto","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino","Masculino",NA,NA,NA,NA,NA,NA,NA,"2019/02/01",NA,NA,NA,51,27,NA,"Parda (negra)","Parda (negra)","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-009444055-001"
"11","2022/03/10 11:40:00","Minas gerais","Sao Gotardo","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,56,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,40,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-010639898-001"
"12","2022/03/10 11:40:00","Minas gerais","Itapecerica","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,73,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-010678672-001"
"13","2022/03/10 11:40:00","Minas gerais","Contagem","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,45,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-011049983-001"
"14","2022/03/10 11:40:00","Minas gerais","Passa Quatro","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,67,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,77,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-011337709-001"
"15","2022/03/10 11:40:00","Minas gerais","Arapora","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,37,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-011777656-001"
"16","2022/03/10 11:40:00","Minas gerais","Buritis","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,42,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,50,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-013124940-001"
"17","2022/03/10 11:40:00","Minas gerais","Ponte Nova","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,24,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,36,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-013256653-001"
"18","2022/03/10 11:40:00","Minas gerais","Belo Horizonte","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/03/01",NA,NA,NA,35,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-013404480-001"
"19","2022/03/10 11:40:00","Minas gerais","Aimores","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/04/01",NA,NA,NA,34,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-016241791-001"
"20","2022/03/10 11:40:00","Minas gerais","Resplendor","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/04/01",NA,NA,NA,52,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,26,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-018314000-001"
"21","2022/03/10 11:40:00","Minas gerais","Barao De Cocais","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/04/01",NA,NA,NA,13,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-019318321-001"
"22","2022/03/10 11:40:00","Minas gerais","Capim Branco","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/04/01",NA,NA,NA,17,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,36,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-020080067-001"
"23","2022/03/10 11:40:00","Minas gerais","Ouro Verde De Minas","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/04/01",NA,NA,NA,63,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-020123196-001"
"24","2022/03/10 11:40:00","Minas gerais","Sabara","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/04/01",NA,NA,NA,47,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,20,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-020484569-001"
"25","2022/03/10 11:40:00","Minas gerais","Andradas","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/04/01",NA,NA,NA,17,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,22,20,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-021084088-001"
"26","2022/03/10 11:40:00","Minas gerais","Betim","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,26,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,22,22,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-021928550-001"
"27","2022/03/10 11:40:00","Minas gerais","Belo Horizonte","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino","Feminino",NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,33,23,NA,"Parda (negra)","Parda (negra)","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,28,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-022796595-001"
"28","2022/03/10 11:40:00","Minas gerais","Belo Horizonte","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino","Feminino",NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,33,23,NA,"Parda (negra)","Parda (negra)","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,"Masculino",NA,NA,NA,NA,NA,29,NA,"Não informada","Parda (negra)","Não informada",NA,NA,NA,NA,NA,"REDS 2019-022796595-001"
"29","2022/03/10 11:40:00","Minas gerais","Contagem","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,43,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,46,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-023625208-001"
"30","2022/03/10 11:40:00","Minas gerais","Sao Sebastiao Paraiso","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,22,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-023928150-001"
"31","2022/03/10 11:40:00","Minas gerais","Heliodora","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino","Masculino",NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,49,25,NA,"Branca","Branca","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,45,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-024321788-001"
"32","2022/03/10 11:40:00","Minas gerais","Contagem","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,33,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Feminino","Feminino",NA,NA,NA,30,37,34,"Preta (negra)","Parda (negra)","Parda (negra)",NA,NA,NA,NA,NA,"REDS 2019-025612376-001"
"33","2022/03/10 11:40:00","Minas gerais","Contagem","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas",NA,"Masculino",NA,NA,NA,NA,NA,NA,NA,"2019/05/01",NA,NA,NA,NA,40,NA,"Não informada","Parda (negra)","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Feminino","Feminino",NA,NA,NA,30,37,34,"Preta (negra)","Parda (negra)","Parda (negra)",NA,NA,NA,NA,NA,"REDS 2019-025612376-001"
"34","2022/03/10 11:40:00","Minas gerais","Montes Claros","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/06/01",NA,NA,NA,36,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,59,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-026443209-001"
"35","2022/03/10 11:40:00","Minas gerais","Montes Claros","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/06/01",NA,NA,NA,23,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,25,NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-027198103-001"
"36","2022/03/10 11:40:00","Minas gerais","Itabirito","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/06/01",NA,NA,NA,63,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-028519802-001"
"37","2022/03/10 11:40:00","Minas gerais","Belo Horizonte","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,"2019/06/01",NA,NA,NA,31,NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,44,NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,"REDS 2019-029631120-001"
