"","Submission Date","UF","Cidade","Dano","Violência","Tipificação","Vítima","Gênero da vítima 1","Gênero da vítima 2","Gênero da vítima 3","Escolaridade da vítima 3","Escolaridade da vítima 2","Escolaridade da vítima 1","Escolaridade do agressor 3","Escolaridade do agressor 2","Escolaridade do agressor 1","Data da denúncia","Orientação sexual da vítima 1","Orientação sexual da vítima 2","Orientação sexual da vítima 3","Idade da vítima 1","Idade da vítima 2","Idade da vítima 3","Raça/cor da vítima 1","Raça/cor da vítima 2","Raça/cor da vítima 3","Religião da vítima 1","Religião da vítima 2","Religião da vítima 3","Agressor 1","Gênero do agressor 1","Gênero do agressor 2","Gênero do agressor 3","Orientação sexual do agressor 1","Orientação sexual do agressor 2","Orientação sexual do agressor 3","Idade do agressor 1","Idade do agressor 2","Idade do agressor 3","Raça/cor do agressor 1","Raça/cor do agressor 2","Raça/cor do agressor 3","Religião do agressor 1","Religião do agressor 2","Religião do agressor 3","Encaminhamentos","Resumo","Observações"
"1","2022/03/17 15:44:00","Rio de Janeiro","Magé",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"2º Grau incompleto",NA,NA,NA,"01/02/2021",NA,NA,NA,19,NA,NA,"Parda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11038441-2021 - Sem dados de agressor, apenas vítimas e casos"
"2","2022/03/17 15:44:00","Rio de Janeiro","Campos dos Goytacazes",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"2º Grau completo",NA,NA,NA,"01/01/2021",NA,NA,NA,78,NA,NA,"Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51803051-2021 - Sem dados de agressor, apenas vítimas e casos"
"3","2022/03/17 15:44:00","Rio de Janeiro","Rio de Janeiro",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,"Doutorado",NA,NA,NA,"01/01/2021",NA,NA,NA,24,NA,NA,"Parda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91094111-2021 - Sem dados de agressor, apenas vítimas e casos"
"4","2022/03/17 15:44:00","Rio de Janeiro","Nova Friburgo",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"3º Grau completo",NA,NA,NA,"12/20/2020",NA,NA,NA,61,NA,NA,"Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91711641-2021 - Sem dados de agressor, apenas vítimas e casos"
"5","2022/03/17 15:44:00","Rio de Janeiro","Volta Redonda",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"1º Grau incompleto",NA,NA,NA,"01/02/2021",NA,NA,NA,33,NA,NA,"Negra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97709781-2021 - Sem dados de agressor, apenas vítimas e casos"
"6","2022/03/17 15:44:00","Rio de Janeiro","Tanguá",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"2º Grau completo",NA,NA,NA,"01/03/2021",NA,NA,NA,64,NA,NA,"Parda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25563992-2021 - Sem dados de agressor, apenas vítimas e casos"
"7","2022/03/17 15:44:00","Rio de Janeiro","Rio de Janeiro",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"1º Grau incompleto",NA,NA,NA,"12/24/2020",NA,NA,NA,63,NA,NA,"Parda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11076181-2021 - Sem dados de agressor, apenas vítimas e casos"
"8","2022/03/17 15:44:00","Rio de Janeiro","São Gonçalo",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"3º Grau completo",NA,NA,NA,"01/01/2021",NA,NA,NA,68,NA,NA,"Negra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16147821-2021 - Sem dados de agressor, apenas vítimas e casos"
"9","2022/03/17 15:44:00","Rio de Janeiro","Rio de Janeiro",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"2º Grau incompleto",NA,NA,NA,"01/04/2021",NA,NA,NA,33,NA,NA,"Negra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31311201-2021 - Sem dados de agressor, apenas vítimas e casos"
"10","2022/03/17 15:44:00","Rio de Janeiro","Magé",NA,NA,"Injúria por preconceito","Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,"1º Grau incompleto",NA,NA,NA,"01/04/2021",NA,NA,NA,45,NA,NA,"Negra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42102151-2021 - Sem dados de agressor, apenas vítimas e casos"
