"","Submission Date","UF","Cidade","Dano","Violência","Tipificação","Vítima","Gênero da vítima 1","Gênero da vítima 2","Gênero da vítima 3","Escolaridade da vítima 3","Escolaridade da vítima 2","Escolaridade da vítima 1","Escolaridade do agressor 3","Escolaridade do agressor 2","Escolaridade do agressor 1","Data da denúncia","Orientação sexual da vítima 1","Orientação sexual da vítima 2","Orientação sexual da vítima 3","Idade da vítima 1","Idade da vítima 2","Idade da vítima 3","Raça/cor da vítima 1","Raça/cor da vítima 2","Raça/cor da vítima 3","Religião da vítima 1","Religião da vítima 2","Religião da vítima 3","Agressor 1","Gênero do agressor 1","Gênero do agressor 2","Gênero do agressor 3","Orientação sexual do agressor 1","Orientação sexual do agressor 2","Orientação sexual do agressor 3","Idade do agressor 1","Idade do agressor 2","Idade do agressor 3","Raça/cor do agressor 1","Raça/cor do agressor 2","Raça/cor do agressor 3","Religião do agressor 1","Religião do agressor 2","Religião do agressor 3","Encaminhamentos","Resumo","Observações"
"1","2022/03/10 14:48:59","Santa Catarina","Araranguá","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,NA,NA,NA,"28",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"42",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"2","2022/03/10 14:48:59","Santa Catarina","Lontras","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-04-02,NA,NA,NA,"20",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"76",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"3","2022/03/10 14:48:59","Santa Catarina","Navegantes","Psicológico","Violência psicológica por motivação religiosa",NA,"Grupo ou coletivo","Feminino","Feminino","Feminino",NA,NA,NA,NA,NA,NA,2019-04-18,NA,NA,NA,"51","51","70","Branca","Branca","Branca",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Feminino","Masculino",NA,NA,NA,"48","48","-","Branca","Branca","Preta (negra)",NA,NA,NA,NA,NA,NA
"4","2022/03/10 14:48:59","Santa Catarina","Balneário Camboriú","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,NA,NA,NA,2019-04-26,NA,NA,NA,"66","68",NA,"Branca","Branca","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,"67",NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"5","2022/03/10 14:48:59","Santa Catarina","Praia Grande","Psicológico","Violência psicológica por motivação religiosa",NA,"Grupo ou coletivo","Feminino","Feminino","Feminino",NA,NA,NA,NA,NA,NA,2019-04-26,NA,NA,NA,"36","36","36","Branca","Branca","Branca",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,"19","19",NA,"Branca","Branca","Não informada",NA,NA,NA,NA,NA,NA
"6","2022/03/10 14:48:59","Santa Catarina","Canoinhas","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-05-23,NA,NA,NA,"21",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"7","2022/03/10 14:48:59","Santa Catarina","São Bento Do Sul","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,NA,NA,NA,2019-05-23,NA,NA,NA,"15","17",NA,"Branca","Branca","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,"15","17",NA,"Branca","Branca","Não informada",NA,NA,NA,NA,NA,NA
"8","2022/03/10 14:48:59","Santa Catarina","Joinville","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,NA,NA,NA,2019-05-24,NA,NA,NA,"24","24",NA,"Amarela","Amarela","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Masculino",NA,NA,NA,NA,"47","55",NA,"Branca","Branca","Não informada",NA,NA,NA,NA,NA,NA
"9","2022/03/10 14:48:59","Santa Catarina","Joinville","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,NA,NA,NA,2019-06-23,NA,NA,NA,"14","35",NA,"Preta (negra)","Preta (negra)","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"38",NA,NA,"Preta (negra)","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"10","2022/03/10 14:48:59","Santa Catarina","Correia Pinto","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-06-26,NA,NA,NA,"53",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Masculino",NA,NA,NA,NA,"12","-",NA,"Branca","Parda (negra)","Não informada",NA,NA,NA,NA,NA,NA
"11","2022/03/10 14:48:59","Santa Catarina","Balneário Barra Do Sul","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-07-10,NA,NA,NA,"34",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"46",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"12","2022/03/10 14:48:59","Santa Catarina","Rio Negrinho","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-08-06,NA,NA,NA,"41",NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"31",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"13","2022/03/10 14:48:59","Santa Catarina","Palhoça","Psicológico","Violência psicológica por motivação religiosa",NA,"Grupo ou coletivo","Feminino","Feminino","Feminino",NA,NA,NA,NA,NA,NA,2019-09-24,NA,NA,NA,"55","55","55","Preta (negra)","Preta (negra)","Preta (negra)",NA,NA,NA,"Grupo ou coletivo","Feminino","Feminino","Feminino",NA,NA,NA,"31","31","31","Branca","Branca","Branca",NA,NA,NA,NA,NA,NA
"14","2022/03/10 14:48:59","Santa Catarina","Curitibanos","Psicológico","Violência psicológica por motivação religiosa",NA,"Grupo ou coletivo","Feminino","Feminino","Masculino",NA,NA,NA,NA,NA,NA,2019-10-05,NA,NA,NA,"20","20","30","Parda (negra)","Parda (negra)","Parda (negra)",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Masculino","Masculino",NA,NA,NA,"20","26","26","Parda (negra)","Amarela","Amarela",NA,NA,NA,NA,NA,NA
"15","2022/03/10 14:48:59","Santa Catarina","Curitibanos","Psicológico","Violência psicológica por motivação religiosa",NA,"Grupo ou coletivo","Feminino","Feminino","Masculino",NA,NA,NA,NA,NA,NA,2019-10-05,NA,NA,NA,"20","20","30","Parda (negra)","Parda (negra)","Parda (negra)",NA,NA,NA,"Grupo ou coletivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"16","2022/03/10 14:48:59","Santa Catarina","Braço Do Norte","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino",NA,NA,NA,NA,NA,NA,NA,NA,2019-10-16,NA,NA,NA,"26",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"20",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"17","2022/03/10 14:48:59","Santa Catarina","Florianópolis","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino","Masculino",NA,NA,NA,NA,NA,NA,NA,2019-10-23,NA,NA,NA,"29","36",NA,"Branca","Branca","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Feminino","Masculino",NA,NA,NA,NA,"29","36",NA,"Branca","Branca","Não informada",NA,NA,NA,NA,NA,NA
"18","2022/03/10 14:48:59","Santa Catarina","Itajaí","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-10-26,NA,NA,NA,"37",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino","Masculino","Masculino",NA,NA,NA,"25","25","25","Branca","Branca","Branca",NA,NA,NA,NA,NA,NA
"19","2022/03/10 14:48:59","Santa Catarina","São José","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2019-11-01,NA,NA,NA,"30",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não informada","Não informada","Não informada",NA,NA,NA,NA,NA,NA
"20","2022/03/10 14:48:59","Santa Catarina","Lages","Psicológico","Violência psicológica por motivação religiosa",NA,"Individual ou até 3 pessoas","Feminino","Feminino",NA,NA,NA,NA,NA,NA,NA,2019-12-16,NA,NA,NA,"29","29",NA,"Branca","Branca","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino","Masculino",NA,NA,NA,NA,"42","42",NA,"Parda (negra)","Parda (negra)","Não informada",NA,NA,NA,NA,NA,NA
"21","2022/03/10 14:48:59","Santa Catarina","Itapema","Físico","Violência física por motivação religiosa",NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,NA,NA,NA,2020-01-05,NA,NA,NA,"20",NA,NA,"Parda (negra)","Não informada","Não informada",NA,NA,NA,"Individual ou até 3 pessoas","Masculino",NA,NA,NA,NA,NA,"35",NA,NA,"Branca","Não informada","Não informada",NA,NA,NA,NA,NA,NA
